SUBSETID	MEMBERID	MEMBERSTATUS	LINKEDID
80691000000139	186713006	1	
80691000000139	186719005	1	
80691000000139	186728006	1	
80691000000139	186729003	1	
80691000000139	186732000	1	
80691000000139	186735003	1	
80691000000139	186833000	1	
80691000000139	186842007	1	
80691000000139	186846005	1	
80691000000139	186847001	1	
80691000000139	186850003	1	
80691000000139	186854007	1	
80691000000139	186861006	1	
80691000000139	186863009	1	
80691000000139	186867005	1	
80691000000139	186868000	1	
80691000000139	186875004	1	
80691000000139	186877007	1	
80691000000139	186878002	1	
80691000000139	186899004	1	
80691000000139	186903006	1	
80691000000139	186915005	1	
80691000000139	186931002	1	
80691000000139	186939000	1	
80691000000139	186946009	1	
80691000000139	187348005	1	
80691000000139	187368004	1	
80691000000139	187438009	1	
80691000000139	187445009	1	
80691000000139	187450003	1	
80691000000139	187451004	1	
80691000000139	188463006	1	
80691000000139	192008	1	
80691000000139	19206003	1	
80691000000139	192647003	1	
80691000000139	19290004	1	
80691000000139	193786000	1	
80691000000139	194907008	1	
80691000000139	194910001	1	
80691000000139	194947001	1	
80691000000139	197305002	1	
80691000000139	197347003	1	
80691000000139	197348008	1	
80691000000139	197757004	1	
80691000000139	197848003	1	
80691000000139	197850006	1	
80691000000139	197966009	1	
80691000000139	197967000	1	
80691000000139	197997008	1	
80691000000139	198175009	1	
80691000000139	198208000	1	
80691000000139	198242009	1	
80691000000139	198781000000103	1	
80691000000139	199154009	1	
80691000000139	199156006	1	
80691000000139	199157002	1	
80691000000139	199158007	1	
80691000000139	199159004	1	
80691000000139	199161008	1	
80691000000139	199163006	1	
80691000000139	199164000	1	
80691000000139	199165004	1	
80691000000139	199166003	1	
80691000000139	200573008	1	
80691000000139	200681000000109	1	
80691000000139	201441000000107	1	
80691000000139	202933002	1	
80691000000139	20735004	1	
80691000000139	20943002	1	
80691000000139	21523006	1	
80691000000139	222251000000105	1	
80691000000139	222611000000108	1	
80691000000139	22386003	1	
80691000000139	230152000	1	
80691000000139	230180003	1	
80691000000139	230182006	1	
80691000000139	230201009	1	
80691000000139	230202002	1	
80691000000139	230563005	1	
80691000000139	230598008	1	
80691000000139	230735006	1	
80691000000139	231858009	1	
80691000000139	232313005	1	
80691000000139	232367004	1	
80691000000139	233849007	1	
80691000000139	234017002	1	
80691000000139	235009000	1	
80691000000139	235032001	1	
80691000000139	235062007	1	
80691000000139	235064008	1	
80691000000139	235065009	1	
80691000000139	23550005	1	
80691000000139	235726002	1	
80691000000139	235861001	1	
80691000000139	235863003	1	
80691000000139	236406007	1	
80691000000139	236672003	1	
80691000000139	236682002	1	
80691000000139	236683007	1	
80691000000139	236687008	1	
80691000000139	236749007	1	
80691000000139	236766009	1	
80691000000139	236767000	1	
80691000000139	236772009	1	
80691000000139	236773004	1	
80691000000139	237038001	1	
80691000000139	237039009	1	
80691000000139	237042003	1	
80691000000139	237046000	1	
80691000000139	237069002	1	
80691000000139	237083000	1	
80691000000139	237084006	1	
80691000000139	237095000	1	
80691000000139	237096004	1	
80691000000139	237097008	1	
80691000000139	237104007	1	
80691000000139	237106009	1	
80691000000139	237446005	1	
80691000000139	237447001	1	
80691000000139	238419002	1	
80691000000139	238453003	1	
80691000000139	2390000	1	
80691000000139	23975003	1	
80691000000139	240039005	1	
80691000000139	240103002	1	
80691000000139	240545008	1	
80691000000139	240552005	1	
80691000000139	240553000	1	
80691000000139	240554006	1	
80691000000139	240555007	1	
80691000000139	240556008	1	
80691000000139	240557004	1	
80691000000139	240558009	1	
80691000000139	240560006	1	
80691000000139	240561005	1	
80691000000139	240562003	1	
80691000000139	240563008	1	
80691000000139	240564002	1	
80691000000139	240565001	1	
80691000000139	240566000	1	
80691000000139	240567009	1	
80691000000139	240568004	1	
80691000000139	240569007	1	
80691000000139	240571007	1	
80691000000139	240572000	1	
80691000000139	240573005	1	
80691000000139	240574004	1	
80691000000139	240575003	1	
80691000000139	240576002	1	
80691000000139	240577006	1	
80691000000139	240578001	1	
80691000000139	240579009	1	
80691000000139	240580007	1	
80691000000139	240581006	1	
80691000000139	240582004	1	
80691000000139	240583009	1	
80691000000139	240584003	1	
80691000000139	240585002	1	
80691000000139	240586001	1	
80691000000139	240587005	1	
80691000000139	240602008	1	
80691000000139	240603003	1	
80691000000139	240604009	1	
80691000000139	240606006	1	
80691000000139	240608007	1	
80691000000139	242647003	1	
80691000000139	246832008	1	
80691000000139	24868007	1	
80691000000139	250514000	1	
80691000000139	25578009	1	
80691000000139	26039008	1	
80691000000139	26135000	1	
80691000000139	266125005	1	
80691000000139	266126006	1	
80691000000139	266127002	1	
80691000000139	266128007	1	
80691000000139	266130009	1	
80691000000139	266133006	1	
80691000000139	266136003	1	
80691000000139	266138002	1	
80691000000139	266143009	1	
80691000000139	266974005	1	
80691000000139	27075004	1	
80691000000139	272006008	1	
80691000000139	272262003	1	
80691000000139	274118001	1	
80691000000139	27420004	1	
80691000000139	27460003	1	
80691000000139	27494001	1	
80691000000139	275372009	1	
80691000000139	275376007	1	
80691000000139	275881005	1	
80691000000139	27648007	1	
80691000000139	276665006	1	
80691000000139	276700005	1	
80691000000139	27681008	1	
80691000000139	276877003	1	
80691000000139	277499006	1	
80691000000139	278068003	1	
80691000000139	278480000	1	
80691000000139	278481001	1	
80691000000139	281388009	1	
80691000000139	28198007	1	
80691000000139	28438004	1	
80691000000139	28572009	1	
80691000000139	28804003	1	
80691000000139	28867007	1	
80691000000139	29864006	1	
80691000000139	301086002	1	
